Ep 1/300 | Steps: 142 | Reward: -60.200 | ETA: 13.6 min
Ep 2/300 | Steps:  16 | Reward:  -2.600 | ETA: 8.4 min
Ep 3/300 | Steps:  16 | Reward:  -2.600 | ETA: 6.7 min
Ep 4/300 | Steps:  44 | Reward: -18.900 | ETA: 6.7 min
Ep 5/300 | Steps:  16 | Reward:  -2.600 | ETA: 6.0 min
Ep 6/300 | Steps:  16 | Reward:  -2.600 | ETA: 5.5 min
Ep 7/300 | Steps:  16 | Reward:  -2.600 | ETA: 5.2 min
Ep 8/300 | Steps:  17 | Reward:  -2.700 | ETA: 5.0 min
Ep 9/300 | Steps:  17 | Reward:  -2.700 | ETA: 4.7 min
Ep 10/300 | Steps:  17 | Reward:  -2.700 | ETA: 4.6 min
Ep 11/300 | Steps:  17 | Reward:  -2.700 | ETA: 4.6 min
Ep 12/300 | Steps:  18 | Reward:  -2.800 | ETA: 4.5 min
Ep 13/300 | Steps:  19 | Reward:  -2.900 | ETA: 4.4 min
Ep 14/300 | Steps:  19 | Reward:  -2.900 | ETA: 4.3 min
Ep 15/300 | Steps:  21 | Reward:  -3.100 | ETA: 4.3 min
Ep 16/300 | Steps:  21 | Reward:  -3.100 | ETA: 4.2 min
Ep 17/300 | Steps:  24 | Reward:  -3.400 | ETA: 4.1 min
Ep 18/300 | Steps:  23 | Reward:  -4.200 | ETA: 4.1 min
Ep 19/300 | Steps:  22 | Reward:  -3.200 | ETA: 4.0 min
Ep 20/300 | Steps:  25 | Reward:  -4.400 | ETA: 4.0 min
Ep 21/300 | Steps:  24 | Reward:  -3.400 | ETA: 4.0 min
Ep 22/300 | Steps:  21 | Reward:  -3.100 | ETA: 3.9 min
Ep 23/300 | Steps:  21 | Reward:  -3.100 | ETA: 3.9 min
Ep 24/300 | Steps:  20 | Reward:  -3.900 | ETA: 3.9 min
Ep 25/300 | Steps:  20 | Reward:  -3.000 | ETA: 3.8 min
Ep 26/300 | Steps:  21 | Reward:  -3.100 | ETA: 3.8 min
Ep 27/300 | Steps:  22 | Reward:  -3.200 | ETA: 3.8 min
Ep 28/300 | Steps:  24 | Reward:  -3.400 | ETA: 3.7 min
Ep 29/300 | Steps:  21 | Reward:  -3.100 | ETA: 3.7 min
Ep 30/300 | Steps:  23 | Reward:  -3.300 | ETA: 3.7 min
Ep 31/300 | Steps:  23 | Reward:  -3.300 | ETA: 3.7 min
Ep 32/300 | Steps:  25 | Reward:  -3.500 | ETA: 3.6 min
Ep 33/300 | Steps:  26 | Reward:  -3.600 | ETA: 3.6 min
Ep 34/300 | Steps:  25 | Reward:  -4.400 | ETA: 3.6 min
Ep 35/300 | Steps:  24 | Reward:  -3.400 | ETA: 3.6 min
Ep 36/300 | Steps:  23 | Reward:  -3.300 | ETA: 3.6 min
Ep 37/300 | Steps:  24 | Reward:  -3.400 | ETA: 3.6 min
Ep 38/300 | Steps:  26 | Reward:  -3.600 | ETA: 3.5 min
Ep 39/300 | Steps:  32 | Reward:  -5.100 | ETA: 3.6 min
Ep 40/300 | Steps:  29 | Reward:  -5.700 | ETA: 3.5 min
Ep 41/300 | Steps:  30 | Reward:  -4.000 | ETA: 3.5 min
Ep 42/300 | Steps:  28 | Reward:  -3.800 | ETA: 3.5 min
Ep 43/300 | Steps:  31 | Reward:  -4.100 | ETA: 3.5 min
Ep 44/300 | Steps:  47 | Reward: -13.800 | ETA: 3.6 min
Ep 45/300 | Steps:  34 | Reward:  -7.100 | ETA: 3.6 min
Ep 46/300 | Steps:  27 | Reward:  -4.600 | ETA: 3.6 min
Ep 47/300 | Steps:  28 | Reward:  -4.700 | ETA: 3.6 min
Ep 48/300 | Steps:  30 | Reward:  -4.900 | ETA: 3.6 min
Ep 49/300 | Steps:  30 | Reward:  -4.000 | ETA: 3.6 min
Ep 50/300 | Steps:  27 | Reward:  -3.700 | ETA: 3.6 min
Ep 51/300 | Steps:  23 | Reward:  -3.300 | ETA: 3.5 min
Ep 52/300 | Steps:  26 | Reward:  -3.600 | ETA: 3.5 min
Ep 53/300 | Steps:  26 | Reward:  -3.600 | ETA: 3.5 min
Ep 54/300 | Steps:  26 | Reward:  -3.600 | ETA: 3.5 min
Ep 55/300 | Steps:  29 | Reward:  -3.900 | ETA: 3.5 min
Ep 56/300 | Steps:  28 | Reward:  -3.800 | ETA: 3.5 min
Ep 57/300 | Steps:  32 | Reward:  -4.200 | ETA: 3.5 min
Ep 58/300 | Steps:  29 | Reward:  -4.800 | ETA: 3.4 min
